src_x,src_y,ref_x,ref_y
250.337,409.479,208.522,341.449
164.447,576.420,94.413,509.386
985.262,556.138,983.375,596.875
706.592,311.972,712.836,296.902
445.619,464.615,412.535,426.053
468.612,388.247,447.889,347.017
490.493,562.113,448.266,537.596
963.747,540.898,960.820,577.258
847.564,427.761,849.237,439.565
771.605,681.515,734.925,703.884
238.579,370.641,201.436,297.192
665.757,152.276,690.558,118.381
631.901,880.006,557.821,899.893
72.712,352.532,23.318,256.475
905.680,379.612,919.396,395.161
300.191,198.881,291.452,120.388
957.738,501.419,959.550,534.707
960.808,597.140,950.892,637.241
885.762,146.601,928.852,141.477
932.038,462.131,937.729,488.622
889.423,796.257,846.777,842.754
841.407,695.585,809.934,727.052
833.690,453.186,831.663,465.370
806.272,312.814,821.442,310.152
477.989,411.124,453.708,372.340
118.701,267.304,85.797,170.249
357.673,776.637,275.574,752.368
813.562,433.225,813.474,441.555
989.664,588.873,982.368,632.671
405.076,749.031,330.079,727.424
246.389,908.943,138.837,879.994
735.619,292.237,747.813,278.032
230.253,242.701,209.455,158.312
432.579,692.458,367.919,670.957
113.779,788.387,11.061,731.970
129.905,924.175,10.870,880.103
942.954,107.882,995.186,107.361
336.091,329.439,311.245,265.180
884.124,436.168,888.233,453.011
191.669,808.287,93.283,763.778
922.007,313.733,946.418,326.013
565.283,610.550,522.944,599.336
702.261,683.088,659.968,696.958
842.813,234.966,871.301,231.246
805.340,224.908,831.378,215.055
535.556,127.163,553.470,74.053
338.290,625.199,275.633,585.799
253.847,510.313,200.848,449.034
212.481,735.123,124.821,687.207
393.748,577.577,341.995,541.827
127.752,286.281,92.115,191.482
924.237,406.359,936.508,426.022
212.263,167.308,198.289,74.516
222.298,943.777,107.526,913.326
772.107,591.593,747.899,606.336
864.672,752.864,826.571,792.321
461.235,657.071,403.664,636.115
516.358,731.139,452.118,723.796
525.788,81.535,549.348,23.363
956.887,164.810,1003.238,170.479
85.001,188.526,59.320,80.248
412.051,252.625,403.762,193.119
227.822,160.270,217.922,69.507
344.071,930.543,240.238,915.453
499.930,372.612,483.088,333.254
572.030,186.883,584.083,143.344
530.289,790.953,460.847,789.119
179.134,326.292,143.095,241.681
122.390,322.507,81.524,230.855
589.424,176.259,606.934,134.059
757.590,139.210,791.385,116.115
109.459,626.549,27.845,556.637
887.059,628.377,866.991,661.764
610.350,133.833,633.260,91.578
203.286,958.294,85.734,926.769
258.475,630.869,188.052,581.582
150.149,457.154,94.461,379.184
895.625,694.317,866.602,733.954
862.982,820.315,814.221,865.725
152.065,829.184,46.115,780.503
936.677,393.246,950.108,414.646
735.065,481.581,721.219,482.937
209.347,303.815,177.664,221.397
536.239,772.289,469.688,770.018
157.376,188.793,138.745,91.721
671.722,268.612,681.791,244.816
508.902,273.462,505.108,228.876
733.845,317.239,743.257,305.653
781.619,528.973,766.454,540.012
484.774,484.106,451.905,452.329
397.136,1002.447,288.767,1000.931
411.224,112.167,421.326,41.868
628.930,691.799,579.996,695.588
479.977,272.505,474.164,223.573
134.000,687.630,45.382,625.861
989.134,826.486,950.865,888.357
609.825,394.413,597.551,372.284
576.787,680.336,525.089,676.103
105.357,700.330,14.586,635.945
395.731,615.202,337.436,582.264
687.192,576.437,658.597,579.238
581.676,602.625,539.832,593.352
593.542,699.195,540.290,699.791
179.554,657.588,98.428,599.688
212.450,261.783,187.427,176.989
344.546,370.798,315.627,311.032
622.644,473.070,602.516,458.464
454.261,167.924,460.975,107.952
130.645,767.588,32.045,711.333
677.092,812.581,615.802,832.430
505.151,810.524,430.229,807.864
736.964,95.513,774.329,66.772
935.395,180.240,977.545,184.695
330.429,240.078,318.727,168.053
657.680,525.640,632.697,520.934
228.713,620.149,156.004,565.628
645.253,557.384,615.537,552.086
214.548,545.680,151.584,483.362
557.232,978.940,464.925,996.088
519.691,830.999,443.375,831.972
1000.454,849.447,960.550,914.055
324.432,977.941,213.681,964.699
808.674,524.815,796.668,539.293
559.251,422.875,540.732,396.619
318.305,763.508,235.151,731.453
502.815,221.449,505.073,171.546
336.427,605.264,275.177,563.962
322.766,260.536,306.478,189.758
505.902,111.804,523.110,53.363
291.305,961.140,179.504,941.032
520.890,577.722,478.365,558.433
392.865,793.857,311.065,774.238
950.981,46.124,1013.441,41.026
921.358,334.165,941.967,348.667
562.025,333.683,555.546,300.757
396.892,830.384,310.937,814.043
912.299,256.482,942.021,263.513
718.455,482.969,704.580,482.297
812.778,190.038,844.879,178.282
940.976,155.378,987.194,158.306
283.800,780.546,196.340,745.052
622.951,167.631,642.135,129.225
426.655,522.835,384.751,486.101
476.911,855.885,394.280,852.282
595.311,320.205,593.145,290.282
957.802,131.000,1008.188,134.622
608.226,300.084,608.409,270.706
122.160,851.165,11.171,800.804
184.974,581.005,115.696,517.951
433.231,963.164,332.644,962.901
566.402,539.125,532.004,522.174
428.033,711.623,359.723,690.509
191.301,441.892,139.098,368.685
601.252,339.203,597.719,311.503
917.252,743.155,884.695,789.827
328.453,111.328,332.832,29.594
851.657,831.009,801.122,875.589
717.684,839.964,655.069,867.315
659.640,105.647,690.783,67.018
183.154,848.381,77.069,805.366
737.465,878.535,672.965,911.906
971.379,801.339,934.011,859.425
293.867,456.699,249.867,397.973
667.493,836.729,602.272,857.402
289.084,633.239,221.927,587.288
350.819,961.272,244.989,949.955
436.344,121.172,448.435,54.603
652.064,206.835,668.601,175.424
370.893,752.804,293.326,727.184
260.160,482.552,209.434,421.647
899.660,125.002,946.079,120.440
393.346,970.053,288.895,964.426
380.272,188.228,377.125,119.844
316.290,740.037,235.995,706.400
748.575,585.823,722.376,597.271
588.933,464.205,566.608,444.559
871.312,301.100,893.051,306.043
577.347,965.123,487.837,983.823
578.163,102.525,602.228,53.525
987.388,872.810,942.695,938.791
270.306,500.815,218.277,442.278
622.680,930.697,540.495,952.612
324.444,844.099,231.397,819.641
369.747,117.908,376.700,42.691
68.992,390.382,15.358,296.138
640.406,183.013,659.776,148.983
414.046,199.486,412.515,136.231
914.506,646.550,893.957,684.145
283.499,133.090,280.033,47.229
673.644,937.427,596.316,966.843
309.170,449.978,266.954,392.996
779.264,874.631,717.404,912.097
62.470,246.281,28.828,139.949
235.385,809.304,139.835,770.050
604.236,950.023,518.462,971.489
352.242,102.687,359.418,23.996
687.754,426.204,677.495,416.880
277.085,720.357,196.309,679.980
96.660,614.578,15.237,541.885
325.665,278.281,307.053,209.767
110.196,398.460,58.598,310.538
975.884,701.998,952.318,752.925
122.132,228.206,94.606,128.113
765.879,719.247,723.321,743.977
913.476,942.010,853.448,1003.816
651.813,970.682,567.047,999.707
473.290,85.721,491.618,21.693
939.772,745.623,907.377,795.249
308.981,783.657,222.915,752.857
477.542,335.301,463.687,291.564
407.027,908.598,310.250,900.779
686.367,51.729,726.349,12.155
843.554,36.468,897.453,17.855
806.286,296.844,822.102,293.208
814.537,931.218,748.395,978.657
90.594,518.724,22.132,437.371
852.721,121.212,896.906,109.733
721.243,970.408,642.050,1008.365
122.181,461.734,63.731,380.665
45.658,168.925,19.727,54.069
112.484,574.995,37.381,501.987
864.765,911.342,804.873,964.989
660.172,405.994,651.502,391.740
879.006,321.801,898.063,329.107
661.109,656.438,619.952,661.632
125.454,714.792,33.640,653.489
848.003,909.246,787.241,959.299
873.636,120.255,919.784,111.450
737.324,677.417,699.127,694.472
